Major Occupational Group, Occupation,Numebr of ppl employed (2016),Infection Score,Physical Proximity Score,Risk Band by Infection Score
Professionals,Clinical Psychologist,13470,57,62,MODERATE
Professionals,Retail Pharmacist,18833,76,72,HIGH
Professionals,Early childhood teacher,27129,52,76,MODERATE
Professionals,Registered Nurse (Mental Health),14062,80,77,HIGH
Professionals,Social Worker,21949,88,76,VERY HIGH
Professionals,Welfare Worker,19954,58,79,MODERATE
Professionals,Special Needs Teacher,18058,55,81,MODERATE
Professionals,Registered Nurse (Perioperative),19129,96,87,VERY HIGH
Professionals,General Practitioner,42590,100,91,VERY HIGH
Professionals,Registered Nurse (Critical care & Emergency),32893,99,94,VERY HIGH
Professionals,Registered Nurse (Aged Care),39266,95,94,VERY HIGH
Professionals,Occupational Therapist,12353,92,95,VERY HIGH
Professionals,Midwife,18318,89,97,VERY HIGH
Professionals,Registered Nurse (Surgical),15133,87,97,VERY HIGH
Professionals,Dentist,11940,95,99,VERY HIGH
Professionals,Physiotherapist,20747,67,100,HIGH
Professionals,Primary School Teacher,148498,46,79,MODERATE
Professionals,Minister of Religion,16690,40,55,SOME
Professionals,Occupational Health and Safety Adviser,16180,18,65,LOW 
Professionals,Secondary School Teacher,137346,17,70,LOW 
Professionals,Vocational Education Teacher,30898,17,76,LOW 
Professionals,Private Tutors and Teachers,11381,7,81,LOW 
Professionals,Mechanical Engineer,13979,7,58,LOW 
Professionals,Urban and Regional Planner,11214,6,54,LOW 
Professionals,Systems Admin,12958,3,54,LOW 
Professionals,Architect,16991,2,53,LOW 
Professionals,Nurse Manager,16058,34,45,SOME
Professionals,Medical Laboratory Scientist,16276,33,43,SOME
Professionals,Solicitor,54912,14,34,LOW 
Professionals,Policy Analyst,13314,7,31,LOW 
Professionals,Graphic Designer,26136,0,34,LOW 
Professionals,Financial Investment Adviser,24146,2,37,LOW 
Professionals,Accountant (General),130065,1,39,LOW 
Professionals,Human Resource Adviser,24636,5,41,LOW 
Professionals,Management Consultant,55465,2,41,LOW 
Professionals,Finance Broker,12655,4,42,LOW 
Professionals,Training and Development Professional,18275,7,46,LOW 
Professionals,Civil Engineer,21304,4,45,LOW 
Professionals,Public Relations Professional,15484,4,46,LOW 
Professionals,Sales Representative (Industrial Products),17583,6,46,LOW 
Professionals,Marketing Specialist,51430,2,47,LOW 
Professionals,University Lecturer,37262,3,48,LOW 
Professionals,ICT Business Analyst,13520,5,48,LOW 
Sales Workers,Pharmacy Sales Assistant,33162,78,82,HIGH
Sales Workers,ICT Sales Assistant,12691,6,46,LOW 
Sales Workers,Property Manager,34526,2,51,LOW 
Sales Workers,Sales Representative (Personal & Household Goods),28491,3,52,LOW 
Sales Workers,Real Estate Agent,22111,6,54,LOW 
Sales Workers,Retail Supervisor,27527,10,66,LOW 
Sales Workers,Motor Vehicle Parts Interpreter,16156,0,67,LOW 
Sales Workers,Sales Assistant (General),526010,19,69,LOW 
Sales Workers,Real Estate Representative,14838,4,71,LOW 
Sales Workers,Ticket Seller,15401,12,81,LOW 
Technicians and Trade workers,Plumber,48192,58,60,MODERATE
Technicians and Trade workers,Hairdresser,54422,59,95,MODERATE
Technicians and Trade workers,Architectural Draftperson,12043,6,47,LOW 
Technicians and Trade workers,Welder,19769,1,46,LOW 
Technicians and Trade workers,Motor Mechanic,73546,8,53,LOW 
Technicians and Trade workers,Baker,17291,7,55,LOW 
Technicians and Trade workers,Cabinetmaker,20995,0,55,LOW 
Technicians and Trade workers,Electronic Equipment Trades Worker,16580,5,60,LOW 
Technicians and Trade workers,Fitter,62187,6,60,LOW 
Technicians and Trade workers,Fiborous Plasterer,21426,6,61,LOW 
Technicians and Trade workers,Telecommunications Technician,12676,22,62,SOME
Technicians and Trade workers,Air Conditioning and Refrigerartor Mechanic,18752,15,66,LOW 
Technicians and Trade workers,Wall and Floor Tiler,17788,12,64,LOW 
Technicians and Trade workers,ICT Customer Support Officer,36993,8,64,LOW 
Technicians and Trade workers,Painting Trades Workers,42200,4,64,LOW 
Technicians and Trade workers,Building Associate,30689,5,71,LOW 
Technicians and Trade workers,Electrician,111894,11,75,LOW 
Technicians and Trade workers,Butcher or Small Goods Maker,15822,3,77,LOW 
Technicians and Trade workers,Chef,80723,15,81,LOW 
Technicians and Trade workers,Carpenter,92511,13,81,LOW 
Technicians and Trade workers,Cook,42097,10,81,LOW 
Technicians and Trade workers,Bricklayer,19250,4,83,LOW 
